ref_date,curve,days,rate
2026-04-02,PRE,4,0.1465
2026-04-02,PRE,7,0.1464
2026-04-02,PRE,11,0.1464
2026-04-02,PRE,12,0.1464
2026-04-02,PRE,13,0.1464
2026-04-02,PRE,14,0.1464
2026-04-02,PRE,15,0.1464
2026-04-02,PRE,21,0.1464
2026-04-02,PRE,22,0.1464
2026-04-02,PRE,26,0.1464
2026-04-02,PRE,27,0.1464
2026-04-02,PRE,28,0.1464
2026-04-02,PRE,32,0.1464
2026-04-02,PRE,41,0.1457
2026-04-02,PRE,43,0.14550000000000002
2026-04-02,PRE,46,0.14550000000000002
2026-04-02,PRE,47,0.1454
2026-04-02,PRE,48,0.1454
2026-04-02,PRE,49,0.14529999999999998
2026-04-02,PRE,55,0.1451
2026-04-02,PRE,57,0.145
2026-04-02,PRE,60,0.145
2026-04-02,PRE,74,0.1446
2026-04-02,PRE,75,0.1446
2026-04-02,PRE,76,0.1445
2026-04-02,PRE,77,0.1445
2026-04-02,PRE,78,0.1445
2026-04-02,PRE,85,0.14429999999999998
2026-04-02,PRE,88,0.14429999999999998
2026-04-02,PRE,89,0.14429999999999998
2026-04-02,PRE,90,0.1442
2026-04-02,PRE,103,0.1438
2026-04-02,PRE,104,0.1438
2026-04-02,PRE,112,0.1436
2026-04-02,PRE,119,0.1434
2026-04-02,PRE,120,0.1434
2026-04-02,PRE,123,0.1434
2026-04-02,PRE,132,0.14300000000000002
2026-04-02,PRE,137,0.1429
2026-04-02,PRE,138,0.1429
2026-04-02,PRE,139,0.14279999999999998
2026-04-02,PRE,141,0.14279999999999998
2026-04-02,PRE,147,0.1426
2026-04-02,PRE,148,0.1426
2026-04-02,PRE,151,0.1425
2026-04-02,PRE,152,0.1425
2026-04-02,PRE,166,0.1422
2026-04-02,PRE,167,0.1422
2026-04-02,PRE,168,0.1421
2026-04-02,PRE,169,0.1421
2026-04-02,PRE,173,0.142
2026-04-02,PRE,180,0.1419
2026-04-02,PRE,181,0.1419
2026-04-02,PRE,182,0.1419
2026-04-02,PRE,195,0.1417
2026-04-02,PRE,196,0.1417
2026-04-02,PRE,197,0.1416
2026-04-02,PRE,209,0.14150000000000001
2026-04-02,PRE,210,0.14150000000000001
2026-04-02,PRE,211,0.14150000000000001
2026-04-02,PRE,215,0.1414
2026-04-02,PRE,228,0.1412
2026-04-02,PRE,230,0.1412
2026-04-02,PRE,231,0.1412
2026-04-02,PRE,242,0.1411
2026-04-02,PRE,243,0.141
2026-04-02,PRE,257,0.1408
2026-04-02,PRE,258,0.1408
