Date,so-premp-f,so-premp-g,so-premp-h,so-premp-j,so-premp-k,so-premp-m,so-premp-n,so-premp-q,so-premp-u,so-premp-v,so-premp-x,so-premp-z
2004-04-16,,,,,,,,-350,,,,
2004-04-19,,,,,,,,-350,,,,
2004-04-20,,,,,,,,-360,,,,
2004-04-22,,,,,,,,-350,,,,
2004-04-23,,,,,,,,-350,,,,
2004-04-26,,,,,,,,-400,,,,
2004-04-27,,,,,,,,-370,,,,
2004-04-28,,,,,,,,-350,,,,
2004-04-29,,,,,,,,-350,,,,
2004-04-30,,,,,,,,-350,,,,
2004-05-03,,,,,,,,-320,,,,
2004-05-04,,,,,,,,-350,,,,
2004-05-05,,,,,,,,-400,,,,
2004-05-06,,,,,,,,-400,,,,
2004-05-07,,,,,,,,-420,,,,
2004-05-10,,,,,,,,-400,,,,
2004-05-11,,,,,,,,-420,,,,
2004-05-12,,,,,,,,-400,,,,
2004-05-13,,,,,,,,-400,,,,
2004-05-14,,,,,,,,-400,,,,
2004-05-17,,,,,,,,-350,,,,
2004-05-18,,,,,,,,-350,,,,
2004-05-19,,,,,,,,-300,,,,
2004-05-20,,,,,,,,-300,,,,
2004-05-21,,,,,,,,-400,,,,
2004-05-24,,,,,,,,-400,,,,
2004-05-25,,,,,,,,-410,,,,
2004-05-26,,,,,,,,-430,,,,
2004-05-27,,,,,,,,-440,,,,
2004-05-28,,,,,,,,-440,,,,
2004-06-01,,,,,,,,-450,,,,
2004-06-02,,,,,,,,-460,-460,,,
2004-06-03,,,,,,,,-450,-450,,,
2004-06-04,,,,,,,,-450,-450,,,
2004-06-07,,,,,,,,-450,-450,,,
2004-06-08,,,,,,,,-450,-450,,,
2004-06-09,,,,,,,,-470,-470,,,
2004-06-14,,,,,,,,-450,-450,,,
2004-06-15,,,,,,,,-470,-470,,,
2004-06-16,,,,,,,,-540,-540,,,
2004-06-17,,,,,,,,-500,-500,,,
2004-06-18,,,,,,,,-510,-510,,,
2004-06-21,,,,,,,,-490,-420,,,
2004-06-22,,,,,,,,-510,-420,,,
2004-06-23,,,,,,,,-510,-430,,,
2004-06-24,,,,,,,,-510,-430,,,
2004-06-25,,,,,,,,-520,-430,,,
2004-06-28,,,,,,,,-520,-420,,,
2004-06-29,,,,,,,,-560,-420,,,
2004-06-30,,,,,,,,-500,-430,,,
2004-07-01,,,,,,,,-470,-420,,,
2004-07-02,,,,,,,,-480,-420,,,
2004-07-06,,,,,,,,-500,-400,,,
2004-07-07,,,,,,,,-520,-420,,,
2004-07-08,,,,,,,,-500,-410,,,
2004-07-09,,,,,,,,-480,-400,,,
2004-07-12,,,,,,,,-440,-400,,,
2004-07-13,,,,,,,,-390,-350,,,
2004-07-14,,,,,,,,-350,-330,,,
2004-07-15,,,,,,,,-330,-280,,,
2004-07-16,,,,,,,,-520,-240,,,
2004-07-19,,,,,,,,-200,-150,,,
2004-07-20,,,,,,,,-170,-150,,,
2004-07-21,,,,,,,,-130,-140,,,
2004-07-22,,,,,,,,0,0,,,
2004-07-23,,,,,,,,30,30,,,
